Date,Open,High,Low,Close,Adj_Close,Volume
11022025,116.50,118.66,112.10,112.62,112.62,93927900
10022025,112.03,116.76,108.72,116.65,116.65,99938100
7022025,111.66,116.30,110.45,110.85,110.85,143795400
6022025,101.09,111.54,100.26,111.28,111.28,128217500
5022025,101.78,103.57,99.32,101.36,101.36,90628300
4022025,102.80,106.91,100.51,103.83,103.83,230806800
3022025,80.13,84.25,78.47,83.74,83.74,126592700
31012025,81.00,85.22,80.87,82.49,82.49,79000200
30012025,80.02,81.83,79.38,81.22,81.22,46067500
29012025,79.95,80.82,77.81,79.76,79.76,49262200
28012025,75.54,80.74,74.04,80.23,80.23,65916700
27012025,74.07,76.72,72.67,75.44,75.44,76093300
24012025,79.05,82.24,78.44,78.98,78.98,77931900
23012025,76.04,79.00,75.84,78.98,78.98,55937900
22012025,74.50,77.16,73.80,76.87,76.87,66876400
21012025,73.24,73.64,70.60,73.07,73.07,56229000
17012025,70.90,72.34,69.95,71.77,71.77,54754000
16012025,69.08,71.43,68.36,69.24,69.24,62908700
15012025,68.55,68.85,67.08,68.14,68.14,56025800
14012025,67.18,68.23,65.19,65.91,65.91,56814900
13012025,64.29,65.68,63.40,64.98,64.98,69046300
